23 de agosto de 1729	tempo	Gazetas	1
Diário	obra	Gazetas	2
Vasco Fernandes César	pessoa	Gazetas	1
El-rei	pessoa	Gazetas	7
Conde de Sabugosa	pessoa	Gazetas	2
Viseu	lugar	Gazetas	2
Rodrigo César	pessoa	Gazetas	2
Antônio da Silva Pimentel	pessoa	Gazetas	1
meia arroba	medida	Gazetas	1
Dona Maurícia	pessoa	Gazetas	1
Frei Antônio da Piedade	pessoa	Gazetas	1
Macau	lugar	Gazetas	2
João Baptista Rollano	pessoa	Gazetas	1
Índia	lugar	Gazetas	3
Mombaça	lugar	Gazetas	2
arábios	outros	Gazetas	1
Lisboa	lugar	Gazetas	4
Bahia	lugar	Gazetas	2
abril	tempo	Gazetas	1
Goa	lugar	Gazetas	1
Dom José de Soto Maior	pessoa	Gazetas	1
Caetano de Melo	pessoa	Gazetas	1
Conde de Coculim	pessoa	Gazetas	1
João de Saldanha	pessoa	Gazetas	2
Martinho da Silveira de Meneses	pessoa	Gazetas	1
Morgado de Oliveira	pessoa	Gazetas	1
Ministro de Évora	pessoa	Gazetas	1
Cardeal Pereira	pessoa	Gazetas	1
Domingos	tempo	Gazetas	1
André Lopes do Lavre	pessoa	Gazetas	1
Ni siempre lo peor es cierto	obra	Gazetas	1
Mafra	lugar	Gazetas	5
Conde de Unhão João Xavier	pessoa	Gazetas	1
Algarve	lugar	Gazetas	2
Senhora Condessa de Castelo Melhor	pessoa	Gazetas	1
Senhora Dona Inácia de Rohan	pessoa	Gazetas	1
Caldas	lugar	Gazetas	2
Senhora Dona Ana Joaquina	pessoa	Gazetas	1
Condessa da Ericeira	pessoa	Gazetas	1
Senhora Condessa de Vila Nova	pessoa	Gazetas	1
Senhora Dona Teresa da Silveira	pessoa	Gazetas	1
Conde de Sarzedas	pessoa	Gazetas	3
Conde de Aveiras Luís da Silva	pessoa	Gazetas	2
Marques de Abrantes	pessoa	Gazetas	1
Trancoso	lugar	Gazetas	1
pároco Pascoal João	pessoa	Gazetas	1
ano de 1533	tempo	Gazetas	1
Gonçalo Anes Bandarra	pessoa	Gazetas	1
Santo Ofício	organização	Gazetas	1
Antônio Henriques	pessoa	Gazetas	1
Bento Pereira	pessoa	Gazetas	1
Valença	lugar	Gazetas	1
praça de Mahé do Samorim	lugar	Gazetas	1
Conde de Ericeira	pessoa	Gazetas	1
El-rei de França	pessoa	Gazetas	1
Rainha	pessoa	Gazetas	1
Diário de Lisboa	obra	Gazetas	1
9 de agosto de 1729	tempo	Gazetas	1
Senhor Infante Dom Carlos	pessoa	Gazetas	1
Troilo de Vasconcelos	pessoa	Gazetas	2
Dom Henrique de Meneses	pessoa	Gazetas	1
Antônio Teles de Meneses	pessoa	Gazetas	1
Senhor da Casa de Vila Pouca	pessoa	Gazetas	1
Marquês de Alegrete	pessoa	Gazetas	1
Conde de Assumar	pessoa	Gazetas	1
Embaixador de Castela	pessoa	Gazetas	1
Portugal	lugar	Gazetas	1
Espanha	lugar	Gazetas	1
mouros	outros	Gazetas	1
Marquês de Marialva	pessoa	Gazetas	1
Marquês de Távora	pessoa	Gazetas	2
Visconde de Asseca	pessoa	Gazetas	2
Conde da Ribeira	pessoa	Gazetas	2
senhora Marquesa de Távora	pessoa	Gazetas	1
princípios de outubro	tempo	Gazetas	1
sezões	sintoma	Gazetas	1
Fernão Correia de Lacerda	pessoa	Gazetas	1
Senhora de Pancas	pessoa	Gazetas	1
Odivelas	lugar	Gazetas	1
